name: lamp.*.*..www00...www.denominator_net
quantiles: [{50 10239} {99 81919}]
From   To     Count  Prob    Bar
2048   2559   1      0.0714  :#######
6656   7167   1      0.0714  :#######
7168   7679   1      0.0714  |#######
7680   8191   1      0.0714  |#######
8704   9215   1      0.0714  :#######
9728   10239  2      0.1429  :##############
10240  10751  1      0.0714  |#######
11264  11775  1      0.0714  :#######
23552  24575  2      0.1429  :##############
49152  51199  1      0.0714  :#######
69632  73727  1      0.0714  :#######
77824  81919  1      0.0714  :#######
