name: netflix.*.*..api00...api.denominator_net
quantiles: [{50 6143} {99 327679}]
From    To       Count  Prob    Bar
2048    2559     1      0.0044  :
3072    3583     1      0.0044  :
3584    4095     29     0.1278  |############
4096    4607     28     0.1233  |############
4608    5119     13     0.0573  |#####
5120    5631     9      0.0396  |###
5632    6143     46     0.2026  |####################
6144    6655     37     0.1630  |################
6656    7167     11     0.0485  |####
7168    7679     10     0.0441  |####
7680    8191     3      0.0132  |#
8192    8703     7      0.0308  |###
8704    9215     5      0.0220  |##
9216    9727     4      0.0176  |#
9728    10239    3      0.0132  |#
10240   10751    6      0.0264  |##
10752   11263    1      0.0044  |
12288   12799    2      0.0088  :
13824   14335    1      0.0044  :
16384   17407    1      0.0044  :
17408   18431    1      0.0044  |
18432   19455    2      0.0088  |
20480   21503    1      0.0044  :
28672   29695    1      0.0044  :
245760  253951   1      0.0044  :
311296  327679   1      0.0044  :
983040  1015807  2      0.0088  :
