name: netflix.*.*..api00...api.denominator_net
quantiles: [{50 17407} {99 1015807}]
From    To       Count  Prob    Bar
2048    2559     1      0.0833  :########
10240   10751    1      0.0833  :########
11264   11775    1      0.0833  :########
11776   12287    1      0.0833  |########
15872   16383    1      0.0833  :########
16384   17407    1      0.0833  |########
22528   23551    1      0.0833  :########
24576   25599    1      0.0833  :########
30720   31743    1      0.0833  :########
86016   90111    1      0.0833  :########
94208   98303    1      0.0833  :########
983040  1015807  1      0.0833  :########
