name: netflix.*.*.api00....api.denominator_resp
count: 667
gauges: map[50:118783 99:253951]
    From,      To,   Count,   Prob, Bar
   61440,   63487,       1, 0.0015, :#
   63488,   65535,       1, 0.0015, |#
   69632,   73727,       3, 0.0045, :#####
   73728,   77823,      13, 0.0195, |######################
   77824,   81919,      10, 0.0150, |#################
   81920,   86015,       3, 0.0045, |#####
   86016,   90111,      12, 0.0180, |#####################
   90112,   94207,      36, 0.0540, |###############################################################
   94208,   98303,      56, 0.0840, |###################################################################################################
   98304,  102399,      34, 0.0510, |############################################################
  102400,  106495,      32, 0.0480, |########################################################
  106496,  110591,      54, 0.0810, |###############################################################################################
  110592,  114687,      43, 0.0645, |############################################################################
  114688,  118783,      46, 0.0690, |#################################################################################
  118784,  122879,      38, 0.0570, |###################################################################
  122880,  126975,      32, 0.0480, |########################################################
  126976,  131071,      30, 0.0450, |#####################################################
  131072,  139263,      50, 0.0750, |########################################################################################
  139264,  147455,      48, 0.0720, |####################################################################################
  147456,  155647,      28, 0.0420, |#################################################
  155648,  163839,      23, 0.0345, |########################################
  163840,  172031,      24, 0.0360, |##########################################
  172032,  180223,      13, 0.0195, |######################
  180224,  188415,       7, 0.0105, |############
  188416,  196607,       7, 0.0105, |############
  196608,  204799,       6, 0.0090, |##########
  204800,  212991,       2, 0.0030, |###
  212992,  221183,       3, 0.0045, |#####
  229376,  237567,       1, 0.0015, :#
  237568,  245759,       3, 0.0045, |#####
  245760,  253951,       2, 0.0030, |###
  253952,  262143,       1, 0.0015, |#
  262144,  278527,       3, 0.0045, |#####
  344064,  360447,       1, 0.0015, :#
  458752,  475135,       1, 0.0015, :#

