name: netflixoss.*.*..www00...www.denominator_net
quantiles: [{50 6655} {99 45055}]
From    To      Count  Prob    Bar
1024    1535    1      0.0109  :#
2048    2559    1      0.0109  :#
2560    3071    1      0.0109  |#
3072    3583    2      0.0217  |##
3584    4095    2      0.0217  |##
4096    4607    16     0.1739  |#################
4608    5119    4      0.0435  |####
5120    5631    6      0.0652  |######
5632    6143    11     0.1196  |###########
6144    6655    20     0.2174  |#####################
6656    7167    8      0.0870  |########
7168    7679    3      0.0326  |###
7680    8191    1      0.0109  |#
8192    8703    1      0.0109  |#
8704    9215    1      0.0109  |#
9216    9727    3      0.0326  |###
9728    10239   1      0.0109  |#
10240   10751   3      0.0326  |###
13312   13823   1      0.0109  :#
14336   14847   1      0.0109  :#
15872   16383   1      0.0109  :#
29696   30719   1      0.0109  :#
38912   40959   1      0.0109  :#
43008   45055   1      0.0109  :#
557056  589823  1      0.0109  :#
