name: netflixoss.*.*.www00....www.denominator_net
quantiles: [{50 6655} {99 118783}]
From    To      Count  Prob    Bar
1024    1535    1      0.0084  :
2048    2559    1      0.0084  :
3072    3583    1      0.0084  :
3584    4095    3      0.0252  |##
4096    4607    3      0.0252  |##
4608    5119    1      0.0084  |
5632    6143    32     0.2689  :##########################
6144    6655    32     0.2689  |##########################
6656    7167    7      0.0588  |#####
7168    7679    9      0.0756  |#######
7680    8191    5      0.0420  |####
8192    8703    2      0.0168  |#
8704    9215    2      0.0168  |#
9216    9727    5      0.0420  |####
10240   10751   5      0.0420  :####
10752   11263   4      0.0336  |###
15872   16383   1      0.0084  :
17408   18431   1      0.0084  :
69632   73727   1      0.0084  :
73728   77823   1      0.0084  |
114688  118783  1      0.0084  :
524288  557055  1      0.0084  :
