name: riak.*.*..analytics-api00...analytics-api.denominator_net
quantiles: [{50 155647} {99 1015807}]
From    To       Count  Prob    Bar
1024    1535     1      0.0714  :#######
1536    2047     1      0.0714  |#######
2048    2559     1      0.0714  |#######
7168    7679     1      0.0714  :#######
7680    8191     2      0.1429  |##############
147456  155647   1      0.0714  :#######
180224  188415   1      0.0714  :#######
212992  221183   1      0.0714  :#######
278528  294911   1      0.0714  :#######
786432  819199   1      0.0714  :#######
983040  1015807  3      0.2143  :#####################
