name: riak.*.*..iot-api00...iot-api.denominator_net
quantiles: [{50 19455} {99 786431}]
From    To      Count  Prob    Bar
1024    1535    1      0.0714  :#######
1536    2047    2      0.1429  |##############
3072    3583    2      0.1429  :##############
3584    4095    1      0.0714  |#######
18432   19455   1      0.0714  :#######
27648   28671   1      0.0714  :#######
31744   32767   1      0.0714  :#######
196608  204799  1      0.0714  :#######
507904  524287  1      0.0714  :#######
557056  589823  2      0.1429  :##############
753664  786431  1      0.0714  :#######
