name: riak.*.*..stream-api00...stream-api.denominator_net
quantiles: [{50 9215} {99 524287}]
From    To      Count  Prob    Bar
1024    1535    1      0.0667  :######
1536    2047    1      0.0667  |######
2048    2559    1      0.0667  |######
2560    3071    1      0.0667  |######
3072    3583    1      0.0667  |######
3584    4095    1      0.0667  |######
4096    4607    1      0.0667  |######
8704    9215    1      0.0667  :######
9216    9727    1      0.0667  |######
14336   14847   1      0.0667  :######
20480   21503   1      0.0667  :######
40960   43007   1      0.0667  :######
55296   57343   1      0.0667  :######
94208   98303   1      0.0667  :######
507904  524287  1      0.0667  :######
