name: riak.*.*.stream-api00....stream-api.denominator_rt
count: 686
gauges: map[50:17407 99:49151]
    From,      To,   Count,   Prob, Bar
    9728,   10239,       2, 0.0029, :##
   10240,   10751,       7, 0.0102, |########
   10752,   11263,      12, 0.0175, |##############
   11264,   11775,       3, 0.0044, |###
   11776,   12287,       4, 0.0058, |####
   12288,   12799,      13, 0.0190, |###############
   12800,   13311,      31, 0.0452, |####################################
   13312,   13823,      23, 0.0335, |###########################
   13824,   14335,      12, 0.0175, |##############
   14336,   14847,      35, 0.0510, |#########################################
   14848,   15359,      67, 0.0977, |###############################################################################
   15360,   15871,      65, 0.0948, |#############################################################################
   15872,   16383,      46, 0.0671, |######################################################
   16384,   17407,      83, 0.1210, |###################################################################################################
   17408,   18431,      79, 0.1152, |##############################################################################################
   18432,   19455,      34, 0.0496, |########################################
   19456,   20479,      33, 0.0481, |#######################################
   20480,   21503,      24, 0.0350, |############################
   21504,   22527,      18, 0.0262, |#####################
   22528,   23551,       9, 0.0131, |##########
   23552,   24575,      10, 0.0146, |###########
   24576,   25599,       6, 0.0087, |#######
   25600,   26623,       4, 0.0058, |####
   26624,   27647,       6, 0.0087, |#######
   27648,   28671,       1, 0.0015, |#
   28672,   29695,       2, 0.0029, |##
   29696,   30719,       3, 0.0044, |###
   30720,   31743,       6, 0.0087, |#######
   31744,   32767,       2, 0.0029, |##
   32768,   34815,       3, 0.0044, |###
   34816,   36863,      11, 0.0160, |#############
   36864,   38911,       7, 0.0102, |########
   38912,   40959,       6, 0.0087, |#######
   40960,   43007,       4, 0.0058, |####
   43008,   45055,       3, 0.0044, |###
   45056,   47103,       4, 0.0058, |####
   47104,   49151,       4, 0.0058, |####
   51200,   53247,       1, 0.0015, :#
   55296,   57343,       1, 0.0015, :#
   65536,   69631,       1, 0.0015, :#
   77824,   81919,       1, 0.0015, :#

