name: riak.*.*.stream-api00....stream-api.denominator_serv
count: 686
gauges: map[99:221183 50:98303]
    From,      To,   Count,   Prob, Bar
   63488,   65535,       3, 0.0044, :###
   65536,   69631,      13, 0.0190, |################
   69632,   73727,      12, 0.0175, |###############
   73728,   77823,      53, 0.0773, |####################################################################
   77824,   81919,      77, 0.1122, |###################################################################################################
   81920,   86015,      62, 0.0904, |###############################################################################
   86016,   90111,      48, 0.0700, |#############################################################
   90112,   94207,      60, 0.0875, |#############################################################################
   94208,   98303,      71, 0.1035, |###########################################################################################
   98304,  102399,      49, 0.0714, |###############################################################
  102400,  106495,      34, 0.0496, |###########################################
  106496,  110591,      20, 0.0292, |#########################
  110592,  114687,      32, 0.0466, |#########################################
  114688,  118783,      18, 0.0262, |#######################
  118784,  122879,      21, 0.0306, |###########################
  122880,  126975,      18, 0.0262, |#######################
  126976,  131071,      10, 0.0146, |############
  131072,  139263,      17, 0.0248, |#####################
  139264,  147455,      14, 0.0204, |##################
  147456,  155647,      12, 0.0175, |###############
  155648,  163839,      11, 0.0160, |##############
  163840,  172031,       5, 0.0073, |######
  172032,  180223,       3, 0.0044, |###
  180224,  188415,       4, 0.0058, |#####
  188416,  196607,       4, 0.0058, |#####
  196608,  204799,       3, 0.0044, |###
  204800,  212991,       1, 0.0015, |#
  212992,  221183,       4, 0.0058, |#####
  221184,  229375,       1, 0.0015, |#
  229376,  237567,       1, 0.0015, |#
  237568,  245759,       1, 0.0015, |#
  262144,  278527,       2, 0.0029, :##
  278528,  294911,       1, 0.0015, |#
  294912,  311295,       1, 0.0015, |#

