name: storage.*.*..load00...load.denominator_resp
quantiles: [{50 45055} {99 94207}]
From   To      Count  Prob    Bar
24576  25599   3      0.0226  :##
25600  26623   1      0.0075  |
26624  27647   2      0.0150  |#
27648  28671   2      0.0150  |#
28672  29695   2      0.0150  |#
29696  30719   4      0.0301  |###
30720  31743   2      0.0150  |#
31744  32767   3      0.0226  |##
32768  34815   2      0.0150  |#
34816  36863   4      0.0301  |###
36864  38911   6      0.0451  |####
38912  40959   20     0.1504  |###############
40960  43007   15     0.1128  |###########
43008  45055   11     0.0827  |########
45056  47103   12     0.0902  |#########
47104  49151   8      0.0602  |######
49152  51199   5      0.0376  |###
51200  53247   5      0.0376  |###
53248  55295   5      0.0376  |###
55296  57343   1      0.0075  |
57344  59391   3      0.0226  |##
59392  61439   1      0.0075  |
61440  63487   4      0.0301  |###
63488  65535   4      0.0301  |###
65536  69631   3      0.0226  |##
81920  86015   2      0.0150  :#
90112  94207   2      0.0150  :#
98304  102399  1      0.0075  :
