name: storage.*.*..load00...load.denominator_net
quantiles: [{50 77823} {99 163839}]
From    To      Count  Prob    Bar
1536    2047    1      0.0204  :##
2560    3071    1      0.0204  :##
5120    5631    1      0.0204  :##
5632    6143    1      0.0204  |##
9216    9727    1      0.0204  :##
10240   10751   1      0.0204  :##
15360   15871   1      0.0204  :##
16384   17407   2      0.0408  :####
17408   18431   1      0.0204  |##
18432   19455   3      0.0612  |######
21504   22527   1      0.0204  :##
22528   23551   1      0.0204  |##
34816   36863   1      0.0204  :##
36864   38911   1      0.0204  |##
40960   43007   1      0.0204  :##
43008   45055   1      0.0204  |##
49152   51199   1      0.0204  :##
65536   69631   2      0.0408  :####
69632   73727   2      0.0408  |####
73728   77823   1      0.0204  |##
77824   81919   1      0.0204  |##
81920   86015   2      0.0408  |####
86016   90111   4      0.0816  |########
90112   94207   5      0.1020  |##########
94208   98303   6      0.1224  |############
98304   102399  2      0.0408  |####
110592  114687  1      0.0204  :##
118784  122879  1      0.0204  :##
131072  139263  1      0.0204  :##
155648  163839  1      0.0204  :##
