name: storage.*.*..load00...load.denominator_rt
quantiles: [{50 172031} {99 237567}]
From    To      Count  Prob    Bar
36864   38911   1      0.0250  :##
61440   63487   1      0.0250  :##
63488   65535   1      0.0250  |##
81920   86015   1      0.0250  :##
86016   90111   1      0.0250  |##
98304   102399  1      0.0250  :##
102400  106495  1      0.0250  |##
106496  110591  1      0.0250  |##
110592  114687  1      0.0250  |##
114688  118783  3      0.0750  |#######
122880  126975  2      0.0500  :#####
126976  131071  1      0.0250  |##
139264  147455  2      0.0500  :#####
147456  155647  1      0.0250  |##
163840  172031  5      0.1250  :############
172032  180223  3      0.0750  |#######
180224  188415  4      0.1000  |##########
188416  196607  5      0.1250  |############
196608  204799  1      0.0250  |##
221184  229375  1      0.0250  :##
229376  237567  3      0.0750  |#######
