name: yogi.*.*..www00...www.denominator_net
quantiles: [{50 5119} {99 43007}]
From    To      Count  Prob    Bar
2048    2559    16     0.1039  :##########
2560    3071    3      0.0195  |#
3072    3583    9      0.0584  |#####
3584    4095    22     0.1429  |##############
4096    4607    15     0.0974  |#########
4608    5119    17     0.1104  |###########
5120    5631    13     0.0844  |########
5632    6143    23     0.1494  |##############
6144    6655    10     0.0649  |######
6656    7167    2      0.0130  |#
7168    7679    2      0.0130  |#
7680    8191    6      0.0390  |###
8192    8703    1      0.0065  |
9216    9727    1      0.0065  :
10240   10751   2      0.0130  :#
11776   12287   1      0.0065  :
14336   14847   2      0.0130  :#
22528   23551   1      0.0065  :
23552   24575   1      0.0065  |
24576   25599   1      0.0065  |
27648   28671   2      0.0130  :#
28672   29695   1      0.0065  |
40960   43007   1      0.0065  :
139264  147455  1      0.0065  :
196608  204799  1      0.0065  :
