name: yogi.*.*..www00...www.denominator_net
quantiles: [{50 6143} {99 59391}]
From    To      Count  Prob    Bar
1536    2047    1      0.0066  :
2048    2559    2      0.0132  |#
3072    3583    10     0.0662  :######
3584    4095    28     0.1854  |##################
4096    4607    4      0.0265  |##
4608    5119    1      0.0066  |
5120    5631    4      0.0265  |##
5632    6143    33     0.2185  |#####################
6144    6655    12     0.0795  |#######
6656    7167    8      0.0530  |#####
7168    7679    11     0.0728  |#######
7680    8191    5      0.0331  |###
8192    8703    3      0.0199  |#
8704    9215    3      0.0199  |#
9216    9727    4      0.0265  |##
9728    10239   3      0.0199  |#
10240   10751   3      0.0199  |#
10752   11263   1      0.0066  |
12800   13311   2      0.0132  :#
13824   14335   1      0.0066  :
14336   14847   1      0.0066  |
16384   17407   1      0.0066  :
17408   18431   1      0.0066  |
20480   21503   1      0.0066  :
22528   23551   1      0.0066  :
23552   24575   2      0.0132  |#
24576   25599   1      0.0066  |
29696   30719   1      0.0066  :
57344   59391   1      0.0066  :
131072  139263  1      0.0066  :
221184  229375  1      0.0066  :
